"","HbA1c","Fasting blood glucose","Plasma NEP activity","Heart NEP activity","IVCT","IVRT","MV A","MV E","MV ET","MV E/A","HR","Diameter;s","Diameter;d","Volume;s","Volume;d","SV","EF","FS","CO","LV Mass","LVAW;s","LVAW;d","LVPW;s","LVPW;d","LA volume","LA area"
"HR",0.980024486450935,0.626900082177425,0.339963533666797,0.647354842526984,0.0608245839340693,0.245073297595873,0.021042228923086,0.0269496360487693,0.00818461108113433,0.0966660167319164,NA,0.453920029014727,0.712930065775722,0.443527538825909,0.712930065775722,0.717429030459011,0.0671335515452152,0.0641918396448908,0.00407235150368779,0.0809271673015879,0.0089166109982437,0.0241663291975522,0.163990508101065,0.146910873163463,0.0689215151397184,0.283574767314585
"Diameter;s",0.000600986353860744,0.000956930090588504,0.00206550437994313,0.645151641986214,0.173826423557457,0.00145025000294674,0.644199003917267,0.0865962420917898,0.864570671538774,0.0454606067178887,0.453920029014727,NA,0,0,0,6.82905819449076e-07,1.41011029519689e-08,1.85013729669947e-07,2.83882959632997e-05,0.685509595874635,0.191644520907904,0.884568342111623,2.45384501880164e-05,3.81797214368262e-05,0.000639292300061323,0.00338566910297278
"Diameter;d",0.00297117767627619,0.00119093594725284,0.000320307868531433,0.43801911624662,0.0506330424948684,0.00036088546188795,0.428694104860261,0.077515280578992,0.306716250855718,0.00940903175500996,0.712930065775722,0,NA,0,0,1.50102152929321e-13,0.000288522981594763,0.0012634274440515,1.90157178892036e-09,0.615405241589024,0.325149496918779,0.844700326227519,0.000176702702949783,3.59310231137222e-05,0.000382441218281793,0.00273882655876756
"Volume;s",0.000600986353860744,0.000956930090588504,0.0019486298126854,0.637829341286154,0.17879559053736,0.00163244429928788,0.66347999859838,0.0875983990668205,0.880140821115142,0.0489472064830285,0.443527538825909,0,0,NA,0,7.26511412585396e-07,1.34824476027973e-08,1.78148193974437e-07,3.08292587396508e-05,0.668491475271932,0.19224750575076,0.882533479361483,2.69539968504873e-05,4.45977815286547e-05,0.000596011408341646,0.00348505457474313
"Volume;d",0.00297117767627619,0.00119093594725284,0.000320307868531433,0.43801911624662,0.0506330424948684,0.00036088546188795,0.428694104860261,0.077515280578992,0.306716250855718,0.00940903175500996,0.712930065775722,0,0,0,NA,1.50102152929321e-13,0.000288522981594763,0.0012634274440515,1.90157178892036e-09,0.615405241589024,0.325149496918779,0.844700326227519,0.000176702702949783,3.59310231137222e-05,0.000382441218281793,0.00273882655876756
"SV",0.068047474209948,0.0182361245127223,0.000409862037848319,0.381789867540333,0.00332539949686828,0.00184741502839936,0.311165009891024,0.163990508101065,0.0290247003111608,0.00750449498548633,0.717429030459011,6.82905819449076e-07,1.50102152929321e-13,7.26511412585396e-07,1.50102152929321e-13,NA,0.861552657286356,0.850759676524933,0,0.634336148393759,0.862903576675084,0.756365716019105,0.0333199645144822,0.00214439355748008,0.00925106345666027,0.029087176867455
"EF",0.0056739197022817,0.034568981397141,0.263214756474027,0.538443439640682,0.344904380593042,0.226458679468795,0.960950517801413,0.375964317919544,0.0695013685889891,0.797899937649439,0.0671335515452152,1.41011029519689e-08,0.000288522981594763,1.34824476027973e-08,0.000288522981594763,0.861552657286356,NA,0,0.842010102583586,0.696304874575605,0.0441820437936511,0.691852423515853,0.00010668007670267,0.00594289314153684,0.0591069111646938,0.0577666240898826
"FS",0.00660861138502988,0.039887490595975,0.37737465441361,0.551389025567727,0.271160016190998,0.273830250815912,0.98560855673329,0.443527538825909,0.0590633324122811,0.859527011698659,0.0641918396448908,1.85013729669947e-07,0.0012634274440515,1.78148193974437e-07,0.0012634274440515,0.850759676524933,0,NA,0.609954393640238,0.623925094960505,0.0532098392302007,0.745268137789874,0.000104728815552235,0.00770311236007304,0.0784343813419084,0.0708889981968721
"CO",0.104612727857295,0.0205679936879672,0.000810779300306486,0.523639489963724,0.000342185516429394,0.000514967238824937,0.98560855673329,0.0160947762335661,0.000374491017882006,0.0736299018718425,0.00407235150368779,2.83882959632997e-05,1.90157178892036e-09,3.08292587396508e-05,1.90157178892036e-09,0,0.842010102583586,0.609954393640238,NA,0.259114294191954,0.351568830740076,0.471353491379206,0.162648205088122,0.0247631078592516,0.0711736570530666,0.12891169270449
"LV Mass",0.787803804448743,0.35213347332681,0.309496330936615,0.501162841220547,0.659790288716827,0.304727166974174,0.0037866924449832,0.113844514252912,0.786598226988165,0.0274056860103675,0.0809271673015879,0.685509595874635,0.615405241589024,0.668491475271932,0.615405241589024,0.634336148393759,0.696304874575605,0.623925094960505,0.259114294191954,NA,1.74690910426101e-06,1.13932123371185e-05,0.000250933035809364,0.000365590783686809,0.151179063222602,0.0423661747548407
"LVAW;s",0.945194216831168,0.509662400710665,0.80388166331629,0.634909862627969,0.530487535100159,0.838581610308749,0.477780077899754,0.606332031152595,0.163247407929664,0.429708074301945,0.0089166109982437,0.191644520907904,0.325149496918779,0.19224750575076,0.325149496918779,0.862903576675084,0.0441820437936511,0.0532098392302007,0.351568830740076,1.74690910426101e-06,NA,8.65973959207622e-15,0.177003551918475,0.248509467688779,0.446631437567476,0.537069654685511
"LVAW;d",0.195662233230623,0.672817029126395,0.628815553261369,0.302495634120877,0.829458536707889,0.550958093927832,0.770141480227376,0.816545802849173,0.237073437820606,0.680450657272999,0.0241663291975522,0.884568342111623,0.844700326227519,0.882533479361483,0.844700326227519,0.756365716019105,0.691852423515853,0.745268137789874,0.471353491379206,1.13932123371185e-05,8.65973959207622e-15,NA,0.77211528041734,0.930864060487925,0.997943974181521,0.413150147244078
"LVPW;s",0.000838657514531382,0.00128033383066573,0.000446172489299457,0.857296694307667,0.571206945279514,0.000477423085571749,0.00234153834830964,0.852107366806732,0.759928266090354,0.000148620438676028,0.163990508101065,2.45384501880164e-05,0.000176702702949783,2.69539968504873e-05,0.000176702702949783,0.0333199645144822,0.00010668007670267,0.000104728815552235,0.162648205088122,0.000250933035809364,0.177003551918475,0.77211528041734,NA,0,1.71879996462287e-05,2.10243930931497e-07
"LVPW;d",0.000917604812503914,2.03970206924531e-05,0.000816938611912121,0.965470196775777,0.148578840769443,3.74649774714797e-06,3.1147533432696e-05,0.696304874575605,0.19156986841121,4.19217887071e-08,0.146910873163463,3.81797214368262e-05,3.59310231137222e-05,4.45977815286547e-05,3.59310231137222e-05,0.00214439355748008,0.00594289314153684,0.00770311236007304,0.0247631078592516,0.000365590783686809,0.248509467688779,0.930864060487925,0,NA,5.62290734862358e-07,2.19099360876385e-09
"LA volume",0.000735326493453536,0.000126104994439213,0.0226707403791944,0.180662470387525,0.13362688172696,0.000146806825177759,0.00578434047965559,0.956843730771023,0.338118939152382,3.56927335554147e-06,0.0689215151397184,0.000639292300061323,0.000382441218281793,0.000596011408341646,0.000382441218281793,0.00925106345666027,0.0591069111646938,0.0784343813419084,0.0711736570530666,0.151179063222602,0.446631437567476,0.997943974181521,1.71879996462287e-05,5.62290734862358e-07,NA,1.47192658062067e-09
"LA area",0.000108461655479619,8.3497643081909e-06,0.0383940432276424,0.79144165870864,0.418757704922889,3.46102609820598e-05,0.000271995216544862,0.541068914793382,0.287051128759954,3.89101546760529e-07,0.283574767314585,0.00338566910297278,0.00273882655876756,0.00348505457474313,0.00273882655876756,0.029087176867455,0.0577666240898826,0.0708889981968721,0.12891169270449,0.0423661747548407,0.537069654685511,0.413150147244078,2.10243930931497e-07,2.19099360876385e-09,1.47192658062067e-09,NA
