"","HbA1c","Fasting blood glucose","Plasma NEP activity","Heart NEP activity","IVCT","IVRT","MV A","MV E","MV ET","MV E/A","HR","Diameter;s","Diameter;d","Volume;s","Volume;d","SV","EF","FS","CO","LV Mass","LVAW;s","LVAW;d","LVPW;s","LVPW;d","LA volume","LA area"
"HR",-0.00388652818011259,0.0744572220241676,-0.145586297760211,0.0726845474434811,-0.281711586052133,-0.176887352704904,0.343083003952569,0.329776021080369,-0.3894580846772,-0.250724637681159,1,-0.114492753623188,-0.0563899868247694,-0.117127799736495,-0.0563899868247694,0.055467720685112,0.27536231884058,0.278260869565217,0.420026350461133,0.262977602108037,0.385507246376812,0.33570487483531,0.211067193675889,0.219762845849802,0.27364953886693,0.163372859025033
"Diameter;s",-0.496910293864577,-0.475735524791584,-0.44729907773386,-0.0731707317073171,-0.206355549811181,-0.460671607826856,-0.0707509881422925,0.25836627140975,-0.0261571408588815,0.299736495388669,-0.114492753623188,1,0.952569169960474,0.999868247694335,0.952569169960474,0.663372859025033,-0.728458498023715,-0.687220026350461,0.581159420289855,0.0620553359683794,-0.19828722002635,-0.022266139657444,-0.584848484848485,-0.573517786561265,-0.489723320158103,-0.427667984189723
"Diameter;d",-0.437623073080678,-0.467894454507623,-0.512384716732543,-0.122923588039867,-0.293183108629496,-0.508584091216001,-0.120948616600791,0.265876152832675,-0.15582276607369,0.38300395256917,-0.0563899868247694,0.952569169960474,1,0.952173913043478,1,0.850065876152833,-0.515678524374176,-0.465744400527009,0.756126482213439,0.0769433465085639,-0.150065876152833,-0.0300395256916996,-0.530698287220026,-0.575098814229249,-0.506719367588933,-0.436231884057971
"Volume;s",-0.496910293864577,-0.475735524791584,-0.449538866930171,-0.0747913459201037,-0.204048059637573,-0.456256014447114,-0.0666666666666667,0.257575757575758,-0.0231263386434947,0.295256916996047,-0.117127799736495,0.999868247694335,0.952173913043478,1,0.952173913043478,0.662187088274045,-0.729117259552042,-0.687878787878788,0.57905138339921,0.0656126482213439,-0.19802371541502,-0.02266139657444,-0.582476943346509,-0.569433465085639,-0.492094861660079,-0.426482213438735
"Volume;d",-0.437623073080678,-0.467894454507623,-0.512384716732543,-0.122923588039867,-0.293183108629496,-0.508584091216001,-0.120948616600791,0.265876152832675,-0.15582276607369,0.38300395256917,-0.0563899868247694,0.952569169960474,1,0.952173913043478,1,0.850065876152833,-0.515678524374176,-0.465744400527009,0.756126482213439,0.0769433465085639,-0.150065876152833,-0.0300395256916996,-0.530698287220026,-0.575098814229249,-0.506719367588933,-0.436231884057971
"SV",-0.277639440357498,-0.350541965635904,-0.504479578392622,-0.138481484482619,-0.428402032802892,-0.451576803552163,-0.154413702239789,0.211067193675889,-0.325679464144713,0.393412384716733,0.055467720685112,0.663372859025033,0.850065876152833,0.662187088274045,0.850065876152833,1,-0.0267457180500659,0.0288537549407115,0.897233201581028,0.0728590250329381,-0.0264822134387352,-0.047562582345191,-0.317918313570487,-0.445849802371541,-0.383794466403162,-0.325559947299078
"EF",0.410276047522431,0.315817225806934,0.170355731225296,-0.0976420063203954,-0.144119243414454,0.183939121236732,-0.0075098814229249,-0.135177865612648,-0.273101634408221,-0.039262187088274,0.27536231884058,-0.728458498023715,-0.515678524374176,-0.729117259552042,-0.515678524374176,-0.0267457180500659,1,0.995783926218709,0.030566534914361,0.0598155467720685,0.301449275362319,0.060737812911726,0.545454545454545,0.403820816864295,0.283530961791831,0.28498023715415
"FS",0.403492289244416,0.307514916094505,0.134782608695652,-0.0945628393161008,-0.167589714894576,0.166672173990575,-0.00276679841897233,-0.117127799736495,-0.28357766815271,-0.0271409749670619,0.278260869565217,-0.687220026350461,-0.465744400527009,-0.687878787878788,-0.465744400527009,0.0288537549407115,0.995783926218709,1,0.078129117259552,0.075098814229249,0.290118577075099,0.049802371541502,0.545981554677207,0.392226613965744,0.265085638998682,0.271805006587615
"CO",-0.247960497891183,-0.34428228767812,-0.481554677206851,-0.101207357588526,-0.51028496982062,-0.496984920546827,0.00276679841897233,0.356916996047431,-0.507395823058555,0.269301712779974,0.420026350461133,0.581159420289855,0.756126482213439,0.57905138339921,0.756126482213439,0.897233201581028,0.030566534914361,0.078129117259552,1,0.171805006587615,0.142160737812912,0.110144927536232,-0.211725955204216,-0.334387351778656,-0.271541501976285,-0.229776021080369
"LV Mass",0.041762511899028,0.141995852621311,0.154940711462451,0.106717445912001,-0.0674446413600121,0.156456995276246,0.423056653491436,0.238998682476943,-0.0415088129498623,-0.328853754940711,0.262977602108037,0.0620553359683794,0.0769433465085639,0.0656126482213439,0.0769433465085639,0.0728590250329381,0.0598155467720685,0.075098814229249,0.171805006587615,1,0.644795783926219,0.603557312252964,0.520026350461133,0.508168642951252,0.217523056653491,0.30395256916996
"LVAW;s",0.0106702864581273,0.100879652140709,0.0380764163372859,0.0754395916052184,-0.0959915912220701,0.0312386755522074,0.108563899868248,0.0789196310935441,-0.211431398025569,-0.12068511198946,0.385507246376812,-0.19828722002635,-0.150065876152833,-0.19802371541502,-0.150065876152833,-0.0264822134387352,0.301449275362319,0.290118577075099,0.142160737812912,0.644795783926219,1,0.8699604743083,0.204874835309618,0.17562582345191,0.116337285902503,0.0944664031620553
"LVAW;d",-0.198848914524306,-0.0647053026794094,0.0740447957839262,0.162952759095697,-0.0330300736279238,-0.0912775646409436,-0.0447957839262187,0.0355731225296443,-0.179871522782737,0.0631093544137022,0.33570487483531,-0.022266139657444,-0.0300395256916996,-0.02266139657444,-0.0300395256916996,-0.047562582345191,0.060737812911726,0.049802371541502,0.110144927536232,0.603557312252964,0.8699604743083,1,0.0444005270092227,-0.0133069828722003,-0.000395256916996047,-0.125032938076416
"LVPW;s",0.485392037621698,0.465258800630662,0.50171277997365,-0.0286038408556843,0.0866957022369658,0.499489286941308,0.442424242424242,0.0285902503293808,0.0468456603291303,-0.535836627140975,0.211067193675889,-0.584848484848485,-0.530698287220026,-0.582476943346509,-0.530698287220026,-0.317918313570487,0.545454545454545,0.545981554677207,-0.211725955204216,0.520026350461133,0.204874835309618,0.0444005270092227,1,0.910803689064559,0.593675889328063,0.68498023715415
"LVPW;d",0.482212150928878,0.589463989582481,0.48129117259552,-0.00688761040434325,0.218881925039336,0.628727773772276,0.578787878787879,0.0598155467720685,0.198319884093787,-0.711857707509881,0.219762845849802,-0.573517786561265,-0.575098814229249,-0.569433465085639,-0.575098814229249,-0.445849802371541,0.403820816864295,0.392226613965744,-0.334387351778656,0.508168642951252,0.17562582345191,-0.0133069828722003,0.910803689064559,1,0.667061923583663,0.754281949934124
"LA volume",0.489985207289104,0.540638501511766,0.339130434782609,0.210598816951625,0.227057033082973,0.536198025934092,0.405006587615283,-0.008300395256917,0.146137376385388,-0.629776021080369,0.27364953886693,-0.489723320158103,-0.506719367588933,-0.492094861660079,-0.506719367588933,-0.383794466403162,0.283530961791831,0.265085638998682,-0.271541501976285,0.217523056653491,0.116337285902503,-0.000395256916996047,0.593675889328063,0.667061923583663,1,0.759420289855072
"LA area",0.550403054452672,0.610812785985871,0.309749670619236,0.0420549388218135,0.123549616724011,0.576070175109378,0.517523056653491,0.0935441370223979,0.162213805527875,-0.673913043478261,0.163372859025033,-0.427667984189723,-0.436231884057971,-0.426482213438735,-0.436231884057971,-0.325559947299078,0.28498023715415,0.271805006587615,-0.229776021080369,0.30395256916996,0.0944664031620553,-0.125032938076416,0.68498023715415,0.754281949934124,0.759420289855072,1
